0,1,2,3,4
-8.595002582073294,0.29313924021428195,22.2,17.1,134.0
-8.398835955636553,0.13983772848068463,22.2,17.3,101.5
-8.195235020116396,0.27950485694850136,22.1,17.5,98.5
-8.799997209800145,-0.007007675054452718,22.1,17.3,124.0
-8.779071162476685,0.6065554584457101,22.1,17.3,107.5
-9.078357679379298,0.6272334854381775,22.1,17.1,117.5
-9.265288739586186,0.8027605945096262,22.1,17.0,131.5
-8.67052755397325,-2.0079720953715134,22.1,16.7,151.5
-9.012534212739109,1.2586608217494686,22.0,16.8,133.5
-9.606767237754873,1.3416494473593237,22.0,16.8,123.5
-7.566657014732556,2.597248856270535,22.1,17.0,111.5
-8.454187759535776,0.8813111405828542,22.0,16.7,131.0
-8.594077429532687,1.3534523025200476,22.1,16.6,124.0
-7.64340794181225,0.9318342315248045,22.1,16.9,117.0
-6.24987864987402,1.7857818628961626,22.2,17.0,115.0
-6.5856378626813195,2.6531818523460142,22.3,17.0,106.5
-6.2999980024705575,-0.005016858277619559,22.1,17.0,87.5
-6.300933756821031,3.4839968128793113,22.1,17.1,96.0
-6.7443263006972884,3.280863110482183,22.0,17.3,86.5
-6.280078120498795,1.6764900239584835,22.0,16.6,65.5
-7.067498192517688,3.748395563272268,21.9,17.3,120.0
-7.0908919541643884,3.001541486364421,21.9,17.2,98.5
-7.192413140467006,4.142365654651645,21.9,17.0,136.0
-6.394490148683815,4.807337697560433,21.9,17.2,100.5
-6.678393325535986,2.690550610829761,22.1,17.4,91.5
-7.637576682273513,4.761031655260434,21.9,17.0,123.0
-7.566657014732556,2.597248856270535,21.9,17.0,146.5
-9.779321284137502,4.342220079822671,21.8,16.7,153.5
-8.417913930995613,2.564902542076402,21.9,17.0,127.0
-7.869418054883985,-0.6944490459824675,22.1,16.8,117.5
-7.526951650199695,1.051189257724831,21.8,17.2,96.5
-9.944439311251628,-1.0526760113317148,21.8,17.1,135.5
-10.266976089952898,-3.948316346030987,21.9,16.7,202.0
-7.70503493682241,1.2134399953628014,21.9,17.5,99.5
-8.198863670978538,0.136508258754954,21.9,17.2,120.5
-7.999997463454677,-0.006370613685866107,21.9,17.1,135.0
-8.100164933582533,1.2756676874326887,21.8,16.7,122.0
-8.08896975819838,1.8597226274237928,21.8,16.6,125.5
-7.699139890333397,1.7700974405599954,21.8,16.5,125.0
-7.365674689621161,2.2442897243168516,21.8,16.4,120.0
